Ticker,Name,Date,Open,High,Low,Close,Volume
VEXMX,Vanguard Extended Market,1990-01-02,2.8414971828460693,2.8414971828460693,2.8414971828460693,2.8414971828460693,0
VEXMX,Vanguard Extended Market,1990-01-03,2.857745409011841,2.857745409011841,2.857745409011841,2.857745409011841,0
VEXMX,Vanguard Extended Market,1990-01-04,2.8475897312164307,2.8475897312164307,2.8475897312164307,2.8475897312164307,0
VEXMX,Vanguard Extended Market,1990-01-05,2.8414971828460693,2.8414971828460693,2.8414971828460693,2.8414971828460693,0
VEXMX,Vanguard Extended Market,1990-01-08,2.837435245513916,2.837435245513916,2.837435245513916,2.837435245513916,0
VEXMX,Vanguard Extended Market,1990-01-09,2.8252484798431396,2.8252484798431396,2.8252484798431396,2.8252484798431396,0
VEXMX,Vanguard Extended Market,1990-01-10,2.798844337463379,2.798844337463379,2.798844337463379,2.798844337463379,0
VEXMX,Vanguard Extended Market,1990-01-11,2.7968125343322754,2.7968125343322754,2.7968125343322754,2.7968125343322754,0
VEXMX,Vanguard Extended Market,1990-01-12,2.744004011154175,2.744004011154175,2.744004011154175,2.744004011154175,0
VEXMX,Vanguard Extended Market,1990-01-15,2.7196309566497803,2.7196309566497803,2.7196309566497803,2.7196309566497803,0
VEXMX,Vanguard Extended Market,1990-01-16,2.7277557849884033,2.7277557849884033,2.7277557849884033,2.7277557849884033,0
VEXMX,Vanguard Extended Market,1990-01-17,2.7277557849884033,2.7277557849884033,2.7277557849884033,2.7277557849884033,0
VEXMX,Vanguard Extended Market,1990-01-18,2.7115070819854736,2.7115070819854736,2.7115070819854736,2.7115070819854736,0
VEXMX,Vanguard Extended Market,1990-01-19,2.721662998199463,2.721662998199463,2.721662998199463,2.721662998199463,0
VEXMX,Vanguard Extended Market,1990-01-22,2.6790080070495605,2.6790080070495605,2.6790080070495605,2.6790080070495605,0
VEXMX,Vanguard Extended Market,1990-01-23,2.666822910308838,2.666822910308838,2.666822910308838,2.666822910308838,0
VEXMX,Vanguard Extended Market,1990-01-24,2.6322944164276123,2.6322944164276123,2.6322944164276123,2.6322944164276123,0
VEXMX,Vanguard Extended Market,1990-01-25,2.628232479095459,2.628232479095459,2.628232479095459,2.628232479095459,0
VEXMX,Vanguard Extended Market,1990-01-26,2.601828098297119,2.601828098297119,2.601828098297119,2.601828098297119,0
VEXMX,Vanguard Extended Market,1990-01-29,2.5835487842559814,2.5835487842559814,2.5835487842559814,2.5835487842559814,0
VEXMX,Vanguard Extended Market,1990-01-30,2.549018383026123,2.549018383026123,2.549018383026123,2.549018383026123,0
VEXMX,Vanguard Extended Market,1990-01-31,2.5794854164123535,2.5794854164123535,2.5794854164123535,2.5794854164123535,0
VEXMX,Vanguard Extended Market,1990-02-01,2.5937044620513916,2.5937044620513916,2.5937044620513916,2.5937044620513916,0
VEXMX,Vanguard Extended Market,1990-02-02,2.6201071739196777,2.6201071739196777,2.6201071739196777,2.6201071739196777,0
VEXMX,Vanguard Extended Market,1990-02-05,2.6383864879608154,2.6383864879608154,2.6383864879608154,2.6383864879608154,0
VEXMX,Vanguard Extended Market,1990-02-06,2.6363556385040283,2.6363556385040283,2.6363556385040283,2.6363556385040283,0
VEXMX,Vanguard Extended Market,1990-02-07,2.6485424041748047,2.6485424041748047,2.6485424041748047,2.6485424041748047,0
VEXMX,Vanguard Extended Market,1990-02-08,2.658698081970215,2.658698081970215,2.658698081970215,2.658698081970215,0
VEXMX,Vanguard Extended Market,1990-02-09,2.664792060852051,2.664792060852051,2.664792060852051,2.664792060852051,0
VEXMX,Vanguard Extended Market,1990-02-12,2.6505744457244873,2.6505744457244873,2.6505744457244873,2.6505744457244873,0
VEXMX,Vanguard Extended Market,1990-02-13,2.6465108394622803,2.6465108394622803,2.6465108394622803,2.6465108394622803,0
VEXMX,Vanguard Extended Market,1990-02-14,2.6465108394622803,2.6465108394622803,2.6465108394622803,2.6465108394622803,0
VEXMX,Vanguard Extended Market,1990-02-15,2.66072940826416,2.66072940826416,2.66072940826416,2.66072940826416,0
VEXMX,Vanguard Extended Market,1990-02-16,2.662759780883789,2.662759780883789,2.662759780883789,2.662759780883789,0
VEXMX,Vanguard Extended Market,1990-02-20,2.6363556385040283,2.6363556385040283,2.6363556385040283,2.6363556385040283,0
VEXMX,Vanguard Extended Market,1990-02-21,2.6221394538879395,2.6221394538879395,2.6221394538879395,2.6221394538879395,0
VEXMX,Vanguard Extended Market,1990-02-22,2.6322944164276123,2.6322944164276123,2.6322944164276123,2.6322944164276123,0
VEXMX,Vanguard Extended Market,1990-02-23,2.609952688217163,2.609952688217163,2.609952688217163,2.609952688217163,0
VEXMX,Vanguard Extended Market,1990-02-26,2.6058902740478516,2.6058902740478516,2.6058902740478516,2.6058902740478516,0
