Ticker,Name,Date,Open,High,Low,Close,Volume
VFINX,Vanguard 500 Index,1990-01-02,16.065908432006836,16.065908432006836,16.065908432006836,16.065908432006836,0
VFINX,Vanguard 500 Index,1990-01-03,16.023677825927734,16.023677825927734,16.023677825927734,16.023677825927734,0
VFINX,Vanguard 500 Index,1990-01-04,15.892305374145508,15.892305374145508,15.892305374145508,15.892305374145508,0
VFINX,Vanguard 500 Index,1990-01-05,15.73746109008789,15.73746109008789,15.73746109008789,15.73746109008789,0
VFINX,Vanguard 500 Index,1990-01-08,15.812533378601072,15.812533378601072,15.812533378601072,15.812533378601074,0
VFINX,Vanguard 500 Index,1990-01-09,15.624847412109375,15.624847412109375,15.624847412109375,15.624847412109375,0
VFINX,Vanguard 500 Index,1990-01-10,15.521615028381348,15.521615028381348,15.521615028381348,15.521615028381348,0
VFINX,Vanguard 500 Index,1990-01-11,15.577926635742188,15.577926635742188,15.577926635742188,15.577926635742188,0
VFINX,Vanguard 500 Index,1990-01-12,15.19316291809082,15.19316291809082,15.19316291809082,15.19316291809082,0
VFINX,Vanguard 500 Index,1990-01-15,15.066483497619629,15.066483497619629,15.066483497619629,15.066483497619629,0
VFINX,Vanguard 500 Index,1990-01-16,15.230706214904785,15.230706214904785,15.230706214904785,15.230706214904785,0
VFINX,Vanguard 500 Index,1990-01-17,15.085245132446289,15.085245132446289,15.085245132446289,15.085245132446289,0
VFINX,Vanguard 500 Index,1990-01-18,15.118091583251953,15.118091583251953,15.118091583251953,15.118091583251953,0
VFINX,Vanguard 500 Index,1990-01-19,15.160324096679688,15.160324096679688,15.160324096679688,15.160324096679688,0
VFINX,Vanguard 500 Index,1990-01-22,14.770872116088867,14.770872116088867,14.770872116088867,14.770872116088867,0
VFINX,Vanguard 500 Index,1990-01-23,14.827184677124023,14.827184677124023,14.827184677124023,14.827184677124023,0
VFINX,Vanguard 500 Index,1990-01-24,14.770872116088867,14.770872116088867,14.770872116088867,14.770872116088867,0
VFINX,Vanguard 500 Index,1990-01-25,14.58319091796875,14.58319091796875,14.58319091796875,14.58319091796875,0
VFINX,Vanguard 500 Index,1990-01-26,14.569106101989746,14.569106101989746,14.569106101989746,14.569106101989746,0
VFINX,Vanguard 500 Index,1990-01-29,14.54564380645752,14.54564380645752,14.54564380645752,14.54564380645752,0
VFINX,Vanguard 500 Index,1990-01-30,14.451800346374512,14.451800346374512,14.451800346374512,14.451800346374512,0
VFINX,Vanguard 500 Index,1990-01-31,14.723947525024414,14.723947525024414,14.723947525024414,14.723947525024414,0
VFINX,Vanguard 500 Index,1990-02-01,14.714566230773926,14.714566230773926,14.714566230773926,14.714566230773926,0
VFINX,Vanguard 500 Index,1990-02-02,14.808418273925781,14.808418273925781,14.808418273925781,14.808418273925781,0
